JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ, LT, RG, RR,
2459777.666666667, A.D. 2022-Jul-17 04:00:00.0000, -4.179259455818304E-01,  8.500470511973900E-01,  3.684488838093432E-01, -1.559223912736429E-02, -6.351920149635832E-03, -2.784626612776198E-03,  5.870031427147728E-03,  1.016364435239740E+00,  8.951289315615336E-05,
2459777.708333333, A.D. 2022-Jul-17 05:00:00.0000, -4.185758288551578E-01,  8.497810981134700E-01,  3.683327685558890E-01, -1.559985750895204E-02, -6.414373257633298E-03, -2.788910357990614E-03,  5.870048481479098E-03,  1.016367388105681E+00,  5.083109064928794E-05,
2459777.750000000, A.D. 2022-Jul-17 06:00:00.0000, -4.192257380330427E-01,  8.495125001475730E-01,  3.682164742033611E-01, -1.559341968160796E-02, -6.478259103118234E-03, -2.793223518215857E-03,  5.870055333464189E-03,  1.016368574490123E+00,  5.204678480569152E-06,
2459777.791666667, A.D. 2022-Jul-17 07:00:00.0000, -4.198750863363316E-01,  8.492412746808662E-01,  3.680999995220333E-01, -1.557303451542394E-02, -6.539882684179287E-03, -2.797565939352661E-03,  5.870050677174829E-03,  1.016367768278611E+00, -4.426853904292835E-05,
2459777.833333333, A.D. 2022-Jul-17 08:00:00.0000, -4.205233115626219E-01,  8.489675906986384E-01,  3.679833433320931E-01, -1.553976604159896E-02, -6.595703843891741E-03, -2.801935393396381E-03,  5.870033988187964E-03,  1.016364878670111E+00, -9.422844144003393E-05,
2459777.875000000, A.D. 2022-Jul-17 09:00:00.0000, -4.211699145870880E-01,  8.486917572183363E-01,  3.678665045873581E-01, -1.549556054472203E-02, -6.642579841005997E-03, -2.806327730957505E-03,  5.870005559377688E-03,  1.016359956374199E+00, -1.412814611990575E-04,
2459777.916666667, A.D. 2022-Jul-17 10:00:00.0000, -4.218144935412262E-01,  8.484142021226340E-01,  3.677494824498423E-01, -1.544311320317545E-02, -6.677980689782488E-03, -2.810737165429548E-03,  5.869966481036241E-03,  1.016353190169123E+00, -1.822317516151274E-04,
2459777.958333333, A.D. 2022-Jul-17 11:00:00.0000, -4.224567713275892E-01,  8.481354428478852E-01,  3.676322763500632E-01, -1.538568341544167E-02, -6.700162513890266E-03, -2.815156669335032E-03,  5.869918566671272E-03,  1.016344894054001E+00, -2.142989219694214E-04,
2459778.000000000, A.D. 2022-Jul-17 12:00:00.0000, -4.230966145852078E-01,  8.478560509363882E-01,  3.675148860289568E-01, -1.532687146611681E-02, -6.708287036190362E-03, -2.819578455693830E-03,  5.869864229524094E-03,  1.016335485868612E+00, -2.353075177190290E-04,
2459778.041666667, A.D. 2022-Jul-17 13:00:00.0000, -4.237340428061901E-01,  8.475766128813351E-01,  3.673973115585302E-01, -1.527037183448265E-02, -6.702479016974502E-03, -2.823994511432200E-03,  5.869806318209183E-03,  1.016325458835264E+00, -2.438353381175733E-04,
2459778.083333333, A.D. 2022-Jul-17 14:00:00.0000, -4.243692269788303E-01,  8.472976899473427E-01,  3.672795533398341E-01, -1.521972004884349E-02, -6.683817705005800E-03, -2.828397146284979E-03,  5.869747922661378E-03,  1.016315347959589E+00, -2.393104763813203E-04,
2459778.125000000, A.D. 2022-Jul-17 15:00:00.0000, -4.250024778502020E-01,  8.470197797196601E-01,  3.671616120783978E-01, -1.517805043219068E-02, -6.654262887128857E-03, -2.832779519581192E-03,  5.869692163603815E-03,  1.016305693578050E+00, -2.220504507003375E-04,
2459778.166666667, A.D. 2022-Jul-17 16:00:00.0000, -4.256342246124820E-01,  8.467432820166967E-01,  3.670434887388050E-01, -1.514788133840175E-02, -6.616520603535062E-03, -2.837136108818584E-03,  5.869641979878147E-03,  1.016297004535303E+00, -1.932407336704385E-04,
2459778.208333333, A.D. 2022-Jul-17 17:00:00.0000, -4.262649854734117E-01,  8.464684715015327E-01,  3.669251844815279E-01, -1.513094259454672E-02, -6.573857729814878E-03, -2.841463087920681E-03,  5.869599928130643E-03,  1.016289723500928E+00, -1.548541161589907E-04,
2459778.250000000, A.D. 2022-Jul-17 18:00:00.0000, -4.268953321274115E-01,  8.461954788690811E-01,  3.668067005863424E-01, -1.512805697297639E-02, -6.529878130676034E-03, -2.845758589257975E-03,  5.869568008512043E-03,  1.016284196790290E+00, -1.095163783570223E-04,
2459778.291666667, A.D. 2022-Jul-17 19:00:00.0000, -4.275258505617737E-01,  8.459242818979412E-01,  3.666880383675766E-01, -1.513908381466213E-02, -6.488275723179121E-03, -2.850022831479061E-03,  5.869547528280355E-03,  1.016280650748098E+00, -6.032740919495827E-05,
2459778.333333333, A.D. 2022-Jul-17 20:00:00.0000, -4.281571008834958E-01,  8.456547069800774E-01,  3.665691990869966E-01, -1.516292866673676E-02, -6.452581369604027E-03, -2.854258104391706E-03,  5.869539012614701E-03,  1.016279176306296E+00, -1.064996321002331E-05,
2459778.375000000, A.D. 2022-Jul-17 21:00:00.0000, -4.287895789194107E-01,  8.453864410235090E-01,  3.664501838702989E-01, -1.519761827386606E-02, -6.425920942799655E-03, -2.858468611928547E-03,  5.869542168729787E-03,  1.016279722770683E+00,  3.611953957751641E-05,
2459778.416666667, A.D. 2022-Jul-17 22:00:00.0000, -4.294236822207695E-01,  8.451190529124362E-01,  3.663309936329339E-01, -1.524043578504241E-02, -6.410801141357001E-03, -2.862660183955958E-03,  5.869555905745000E-03,  1.016282101261136E+00,  7.678253385516338E-05,
2459778.458333333, A.D. 2022-Jul-17 23:00:00.0000, -4.300596828016359E-01,  8.448520230543666E-01,  3.662116290203389E-01, -1.528810691147624E-02, -6.408937730498780E-03, -2.866839876671297E-03,  5.869578408957872E-03,  1.016285997571663E+00,  1.085563518861439E-04,
2459778.500000000, A.D. 2022-Jul-18 00:00:00.0000, -4.306977084790588E-01,  8.445847789896668E-01,  3.660920903666802E-01, -1.533702428003950E-02, -6.421137977628866E-03, -2.871015488967838E-03,  5.869607263459688E-03,  1.016290993573780E+00,  1.292639131923751E-04,
2459778.541666667, A.D. 2022-Jul-18 01:00:00.0000, -4.313377340935868E-01,  8.443167346235831E-01,  3.659723776749285E-01, -1.538349460960634E-02, -6.447245338016497E-03, -2.875195027904690E-03,  5.869639618665238E-03,  1.016296595703961E+00,  1.374821249884280E-04,
2459778.583333333, A.D. 2022-Jul-18 02:00:00.0000, -4.319795832116977E-01,  8.440473303925609E-01,  3.658524906196349E-01, -1.542399177381608E-02, -6.486150180753292E-03, -2.879386159906240E-03,  5.869672382539512E-03,  1.016302268592937E+00,  1.326388806087264E-04,
2459778.625000000, A.D. 2022-Jul-18 03:00:00.0000, -4.326229401934912E-01,  8.437760716126669E-01,  3.657324285722166E-01, -1.545539841041092E-02, -6.535865820047741E-03, -2.883595685294421E-03,  5.869702432281421E-03,  1.016307471544462E+00,  1.150520548329843E-04,
2459778.666666667, A.D. 2022-Jul-18 04:00:00.0000, -4.332673717987684E-01,  8.435025623824880E-01,  3.656121906470201E-01, -1.547521952211303E-02, -6.593664642189387E-03, -2.887829072158246E-03,  5.869726827106164E-03,  1.016311695377431E+00,  8.590785316014270E-05,
2459778.708333333, A.D. 2022-Jul-18 05:00:00.0000, -4.339123568510537E-01,  8.432265327174870E-01,  3.654917757650066E-01, -1.548175343315276E-02, -6.656265000799412E-03, -2.892090081499739E-03,  5.869743008628465E-03,  1.016314497121166E+00,  4.718000527344665E-05,
