JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ, LT, RG, RR,
2459758.681965625, A.D. 2022-Jun-28 04:22:01.8300, -1.094505455551079E-01,  9.273166914103763E-01,  4.019881186448942E-01, -1.683133787380654E-02, -1.639462898853923E-03, -7.100514096521112E-04,  5.871433282368391E-03,  1.016607158946984E+00,  3.586987463845458E-05,
2459758.690093623, A.D. 2022-Jun-28 04:33:44.0890, -1.095873496140786E-01,  9.273033571888174E-01,  4.019823435871562E-01, -1.683108798557844E-02, -1.641596508347333E-03, -7.109769899416419E-04,  5.871434965081498E-03,  1.016607450299727E+00,  3.582127344921606E-05,
2459758.702264028, A.D. 2022-Jun-28 04:51:15.6120, -1.097921884936227E-01,  9.272833588538726E-01,  4.019736822757129E-01, -1.683071319420142E-02, -1.644791194836871E-03, -7.123628786676920E-04,  5.871437480415300E-03,  1.016607885816274E+00,  3.574849535472315E-05,
2459768.680997546, A.D. 2022-Jul-08 04:20:38.1880, -2.753833411024567E-01,  8.979305588878268E-01,  3.892496066846803E-01, -1.627760576406549E-02, -4.220784182323278E-03, -1.830266844287740E-03,  5.871832126238391E-03,  1.016676216622350E+00, -1.949518269871487E-05,
2459768.693523449, A.D. 2022-Jul-08 04:38:40.4260, -2.755872266043000E-01,  8.978776699829999E-01,  3.892266723640231E-01, -1.627661531825290E-02, -4.223941328067085E-03, -1.831636220312261E-03,  5.871830713869080E-03,  1.016675972078184E+00, -1.955096342084076E-05,
2459768.694349884, A.D. 2022-Jul-08 04:39:51.8300, -2.756006781445309E-01,  8.978741790832867E-01,  3.892251585981115E-01, -1.627654994604790E-02, -4.224149622182208E-03, -1.831726565321443E-03,  5.871830620541766E-03,  1.016675955919061E+00, -1.955464190685679E-05,
2459772.669562083, A.D. 2022-Jul-12 04:04:10.1640, -3.396332673621217E-01,  8.791070330629911E-01,  3.810873347754771E-01, -1.592834649422122E-02, -5.213864183233365E-03, -2.260677468311577E-03,  5.871198568604782E-03,  1.016566519518601E+00, -3.468918158927653E-05,
2459772.678250301, A.D. 2022-Jul-12 04:16:40.8260, -3.397716526852738E-01,  8.790617245951796E-01,  3.810676894984390E-01, -1.592751417543714E-02, -5.216000809590906E-03, -2.261602739519666E-03,  5.871196827228542E-03,  1.016566218008651E+00, -3.471744633976167E-05,
2459772.687050798, A.D. 2022-Jul-12 04:29:21.1890, -3.399118190269244E-01,  8.790158116690665E-01,  3.810477821447914E-01, -1.592667079276821E-02, -5.218164934596796E-03, -2.262539915905556E-03,  5.871195061902468E-03,  1.016565912351917E+00, -3.474606194790431E-05,
2459774.688631134, A.D. 2022-Jul-14 04:31:37.7300, -3.715930039070007E-01,  8.680805768622183E-01,  3.763066959307805E-01, -1.572684486717002E-02, -5.707497509532517E-03, -2.474375774025906E-03,  5.870756792871481E-03,  1.016490028421534E+00, -4.102979389102194E-05,
2459774.695590567, A.D. 2022-Jul-14 04:41:39.0250, -3.717024513189029E-01,  8.680408500278062E-01,  3.762894731301082E-01, -1.572612224963964E-02, -5.709189233437478E-03, -2.475107944362366E-03,  5.870755143271581E-03,  1.016489742802165E+00, -4.105142216201862E-05,
2459774.703054664, A.D. 2022-Jul-14 04:52:23.9230, -3.718198297258080E-01,  8.679982293150740E-01,  3.762709957540872E-01, -1.572534701602897E-02, -5.711003560478042E-03, -2.475893175782051E-03,  5.870753373084620E-03,  1.016489436303794E+00, -4.107462150513760E-05,
