JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ, LT, RG, RR,
2458313.500000000, A.D. 2018-Jul-14 00:00:00.0000, -3.688942154003023E-01,  8.690938356387163E-01,  3.767267653351513E-01, -1.577976013558723E-02, -5.468484309613320E-03, -2.458566704413265E-03,  5.870978706951614E-03,  1.016528451653424E+00,  1.399157578961896E-04,
2458313.541666667, A.D. 2018-Jul-14 01:00:00.0000, -3.695527184151805E-01,  8.688655529586339E-01,  3.766242343474674E-01, -1.582782963927706E-02, -5.491381197379904E-03, -2.462921543265274E-03,  5.871013596715317E-03,  1.016534492628744E+00,  1.479040503191397E-04,
2458313.583333333, A.D. 2018-Jul-14 02:00:00.0000, -3.702131304200771E-01,  8.686360371342512E-01,  3.765215217600901E-01, -1.587081442145572E-02, -5.527452876881318E-03, -2.467284506353823E-03,  5.871048846780357E-03,  1.016540595988307E+00,  1.428899253886377E-04,
2458313.625000000, A.D. 2018-Jul-14 03:00:00.0000, -3.708751703141219E-01,  8.684047731047646E-01,  3.764186271128002E-01, -1.590546856354818E-02, -5.574930501552782E-03, -2.471661293625119E-03,  5.871081349236467E-03,  1.016546223614132E+00,  1.251962295126913E-04,
2458313.666666667, A.D. 2018-Jul-14 04:00:00.0000, -3.715384329163742E-01,  8.681713363182711E-01,  3.763155497282420E-01, -1.592911638400581E-02, -5.631263468849643E-03, -2.476056567696308E-03,  5.871108178864808E-03,  1.016550869020275E+00,  9.600977451114239E-05,
2458313.708333333, A.D. 2018-Jul-14 05:00:00.0000, -3.722024167047264E-01,  8.679354218312832E-01,  3.762122887620982E-01, -1.593983577626748E-02, -5.693294186336466E-03, -2.480473633987897E-03,  5.871126792459129E-03,  1.016554091864227E+00,  5.730048600978485E-05,
2458313.750000000, A.D. 2018-Jul-14 06:00:00.0000, -3.728665581561129E-01,  8.676968652127240E-01,  3.761088432647193E-01, -1.593658991186713E-02, -5.757474428633461E-03, -2.484914213844286E-03,  5.871135202123904E-03,  1.016555547952545E+00,  1.168721705227764E-05,
2458313.791666667, A.D. 2018-Jul-14 07:00:00.0000, -3.735302703350475E-01,  8.674556538200682E-01,  3.760052122499902E-01, -1.591929828442393E-02, -5.820108460508866E-03, -2.489378326189408E-03,  5.871132110747787E-03,  1.016555012697363E+00, -3.774062753069430E-05,
2458313.833333333, A.D. 2018-Jul-14 08:00:00.0000, -3.741929830864009E-01,  8.672119276749863E-01,  3.759013947667083E-01, -1.588884222657390E-02, -5.877606267318802E-03, -2.493864285828232E-03,  5.871117000427349E-03,  1.016552396426481E+00, -8.763350945817987E-05,
2458313.875000000, A.D. 2018-Jul-14 09:00:00.0000, -3.748541820784176E-01,  8.669659698784937E-01,  3.757973899675889E-01, -1.584700452183211E-02, -5.926729541502491E-03, -2.498368818512712E-03,  5.871090167819013E-03,  1.016547750504367E+00, -1.346098969157710E-04,
2458313.916666667, A.D. 2018-Jul-14 10:00:00.0000, -3.755134440207509E-01,  8.667181872223562E-01,  3.756931971711667E-01, -1.579634724917586E-02, -5.964813570158964E-03, -2.502887284890260E-03,  5.871052704008689E-03,  1.016541263846690E+00, -1.754866021927974E-04,
2458313.958333333, A.D. 2018-Jul-14 11:00:00.0000, -3.761704656443810E-01,  8.664690823252552E-01,  3.755888159123498E-01, -1.574003623040214E-02, -5.989949820015071E-03, -2.507413997992456E-03,  5.871006420263955E-03,  1.016533250064710E+00, -2.074956428307645E-04,
2458314.000000000, A.D. 2018-Jul-14 12:00:00.0000, -3.768250844577153E-01,  8.662192192029401E-01,  3.754842459781674E-01, -1.568162410913457E-02, -6.001116709062316E-03, -2.511942612512074E-03,  5.870953724716756E-03,  1.016524126113546E+00, -2.284728640906631E-04,
2458314.041666667, A.D. 2018-Jul-14 13:00:00.0000, -3.774772898566671E-01,  8.659691846314956E-01,  3.753794874262565E-01, -1.562480692484585E-02, -5.998249604433551E-03, -2.516466559197539E-03,  5.870897458365863E-03,  1.016514383896888E+00, -2.370054743704883E-04,
2458314.083333333, A.D. 2018-Jul-14 14:00:00.0000, -3.781272238274521E-01,  8.657195479511040E-01,  3.752745405848228E-01, -1.557317086142393E-02, -5.982245250257812E-03, -2.520979494602009E-03,  5.870840701560667E-03,  1.016504556760701E+00, -2.325284327094299E-04,
2458314.125000000, A.D. 2018-Jul-14 15:00:00.0000, -3.787751711939469E-01,  8.654708220645471E-01,  3.751694060340783E-01, -1.552994652304094E-02, -5.954900322104452E-03, -2.525475735371707E-03,  5.870786564142551E-03,  1.016495183157328E+00, -2.153631019671041E-04,
2458314.166666667, A.D. 2018-Jul-14 16:00:00.0000, -3.794215400778593E-01,  8.652234283028246E-01,  3.750640845704253E-01, -1.549778757429842E-02, -5.918788318257481E-03, -2.529950647316972E-03,  5.870737973538992E-03,  1.016486769955123E+00, -1.866955085252153E-04,
2458314.208333333, A.D. 2018-Jul-14 17:00:00.0000, -3.800668339105775E-01,  8.649776675652863E-01,  3.749585771558427E-01, -1.547858891219859E-02, -5.877083223207941E-03, -2.534400962607135E-03,  5.870697475251385E-03,  1.016479757893991E+00, -1.484956635330274E-04,
2458314.250000000, A.D. 2018-Jul-14 18:00:00.0000, -3.807116169144433E-01,  8.647336997117591E-01,  3.748528848559395E-01, -1.547335682877948E-02, -5.833342025927883E-03, -2.538825003354624E-03,  5.870667059339059E-03,  1.016474491542024E+00, -1.033834217309073E-04,
2458314.291666667, A.D. 2018-Jul-14 19:00:00.0000, -3.813564754186671E-01,  8.644915326187120E-01,  3.747470087709222E-01, -1.548214006084359E-02, -5.791260994736589E-03, -2.543222796267384E-03,  5.870648024734419E-03,  1.016471195802396E+00, -5.445000641545195E-05,
2458314.333333333, A.D. 2018-Jul-14 20:00:00.0000, -3.820019776605130E-01,  8.642510216493309E-01,  3.746409499642043E-01, -1.550402645124936E-02, -5.754422408770494E-03, -2.547596070512105E-03,  5.870640890647981E-03,  1.016469960573620E+00, -5.047361834851879E-06,
2458314.375000000, A.D. 2018-Jul-14 21:00:00.0000, -3.826486348261731E-01,  8.640118795738131E-01,  3.745347093935487E-01, -1.553720545052899E-02, -5.726049099993957E-03, -2.551948138932754E-03,  5.870645361111908E-03,  1.016470734610454E+00,  4.144030241513104E-05,
