            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2458313.500000000, A.D. 2018-Jul-14 00:00:00.0000,  3.970631903375841E-01, -1.225073701843100E+00,  4.747425184256288E-01,  1.139883470482581E-02,  2.679831561705859E-03,  3.750852848392653E-03,  7.927086082599644E-03,  1.372532407948798E+00,  2.203048767659123E-03,
2458313.541666667, A.D. 2018-Jul-14 01:00:00.0000,  3.975381023217865E-01, -1.224961920499619E+00,  4.748987567923262E-01,  1.139694022288699E-02,  2.685672641389248E-03,  3.748588704620425E-03,  7.927615985754309E-03,  1.372624157835866E+00,  2.200945808913210E-03,
2458313.583333333, A.D. 2018-Jul-14 02:00:00.0000,  3.980129353299888E-01, -1.224849895813318E+00,  4.750549008136417E-01,  1.139504385682452E-02,  2.691512017101753E-03,  3.746324270069345E-03,  7.928145382837190E-03,  1.372715820099320E+00,  2.198842834241141E-03,
2458313.625000000, A.D. 2018-Jul-14 03:00:00.0000,  3.984876892836999E-01, -1.224737627855186E+00,  4.752109504774632E-01,  1.139314560745726E-02,  2.697349689328048E-03,  3.744059544932654E-03,  7.928674273844463E-03,  1.372807394738499E+00,  2.196739843720711E-03,
2458313.666666667, A.D. 2018-Jul-14 04:00:00.0000,  3.989623641044637E-01, -1.224625116696193E+00,  4.753669057716859E-01,  1.139124547560287E-02,  2.703185658552451E-03,  3.741794529403211E-03,  7.929202658772323E-03,  1.372898881752744E+00,  2.194636837429508E-03,
2458313.708333333, A.D. 2018-Jul-14 05:00:00.0000,  3.994369597138650E-01, -1.224512362407286E+00,  4.755227666842159E-01,  1.138934346207779E-02,  2.709019925259036E-03,  3.739529223673477E-03,  7.929730537616989E-03,  1.372990281141400E+00,  2.192533815444867E-03,
2458313.750000000, A.D. 2018-Jul-14 06:00:00.0000,  3.999114760335156E-01, -1.224399365059394E+00,  4.756785332029647E-01,  1.138743956769731E-02,  2.714852489931421E-03,  3.737263627935558E-03,  7.930257910374690E-03,  1.373081592903814E+00,  2.190430777843954E-03,
2458313.791666667, A.D. 2018-Jul-14 07:00:00.0000,  4.003859129850607E-01, -1.224286124723425E+00,  4.758342053158517E-01,  1.138553379327551E-02,  2.720683353052881E-03,  3.734997742381198E-03,  7.930784777041674E-03,  1.373172817039337E+00,  2.188327724703719E-03,
2458313.833333333, A.D. 2018-Jul-14 08:00:00.0000,  4.008602704901872E-01, -1.224172641470266E+00,  4.759897830108069E-01,  1.138362613962529E-02,  2.726512515106436E-03,  3.732731567201732E-03,  7.931311137614217E-03,  1.373263953547325E+00,  2.186224656100866E-03,
2458313.875000000, A.D. 2018-Jul-14 09:00:00.0000,  4.013345484706087E-01, -1.224058915370785E+00,  4.761452662757659E-01,  1.138171660755834E-02,  2.732339976574656E-03,  3.730465102588154E-03,  7.931836992088605E-03,  1.373355002427133E+00,  2.184121572111930E-03,
2458313.916666667, A.D. 2018-Jul-14 10:00:00.0000,  4.018087468480717E-01, -1.223944946495831E+00,  4.763006550986718E-01,  1.137980519788520E-02,  2.738165737939765E-03,  3.728198348731089E-03,  7.932362340461139E-03,  1.373445963678122E+00,  2.182018472813228E-03,
2458313.958333333, A.D. 2018-Jul-14 11:00:00.0000,  4.022828655443649E-01, -1.223830734916229E+00,  4.764559494674784E-01,  1.137789191141519E-02,  2.743989799683729E-03,  3.725931305820754E-03,  7.932887182728153E-03,  1.373536837299655E+00,  2.179915358280841E-03,
2458314.000000000, A.D. 2018-Jul-14 12:00:00.0000,  4.027569044813027E-01, -1.223716280702789E+00,  4.766111493701454E-01,  1.137597674895647E-02,  2.749812162288067E-03,  3.723663974047030E-03,  7.933411518885986E-03,  1.373627623291101E+00,  2.177812228590666E-03,
2458314.041666667, A.D. 2018-Jul-14 13:00:00.0000,  4.032308635807330E-01, -1.223601583926298E+00,  4.767662547946395E-01,  1.137405971131602E-02,  2.755632826233949E-03,  3.721396353599429E-03,  7.933935348930997E-03,  1.373718321651828E+00,  2.175709083818400E-03,
2458314.083333333, A.D. 2018-Jul-14 14:00:00.0000,  4.037047427645452E-01, -1.223486644657522E+00,  4.769212657289384E-01,  1.137214079929960E-02,  2.761451792002286E-03,  3.719128444667057E-03,  7.934458672859570E-03,  1.373808932381211E+00,  2.173605924039489E-03,
2458314.125000000, A.D. 2018-Jul-14 15:00:00.0000,  4.041785419546545E-01, -1.223371462967210E+00,  4.770761821610249E-01,  1.137022001371184E-02,  2.767269060073543E-03,  3.716860247438684E-03,  7.934981490668102E-03,  1.373899455478625E+00,  2.171502749329216E-03,
2458314.166666667, A.D. 2018-Jul-14 16:00:00.0000,  4.046522610730096E-01, -1.223256038926089E+00,  4.772310040788899E-01,  1.136829735535616E-02,  2.773084630927833E-03,  3.714591762102716E-03,  7.935503802353005E-03,  1.373989890943449E+00,  2.169399559762644E-03,
2458314.208333333, A.D. 2018-Jul-14 17:00:00.0000,  4.051259000416004E-01, -1.223140372604865E+00,  4.773857314705343E-01,  1.136637282503481E-02,  2.778898505045011E-03,  3.712322988847152E-03,  7.936025607910716E-03,  1.374080238775066E+00,  2.167296355414608E-03,
2458314.250000000, A.D. 2018-Jul-14 18:00:00.0000,  4.055994587824425E-01, -1.223024464074227E+00,  4.775403643239646E-01,  1.136444642354885E-02,  2.784710682904484E-03,  3.710053927859658E-03,  7.936546907337687E-03,  1.374170498972862E+00,  2.165193136359756E-03,
2458314.291666667, A.D. 2018-Jul-14 19:00:00.0000,  4.060729372175847E-01, -1.222908313404843E+00,  4.776949026271953E-01,  1.136251815169820E-02,  2.790521164985306E-03,  3.707784579327535E-03,  7.937067700630386E-03,  1.374260671536226E+00,  2.163089902672540E-03,
2458314.333333333, A.D. 2018-Jul-14 20:00:00.0000,  4.065463352691170E-01, -1.222791920667358E+00,  4.778493463682506E-01,  1.136058801028155E-02,  2.796329951766274E-03,  3.705514943437679E-03,  7.937587987785308E-03,  1.374350756464550E+00,  2.160986654427166E-03,
2458314.375000000, A.D. 2018-Jul-14 21:00:00.0000,  4.070196528591548E-01, -1.222675285932401E+00,  4.780036955351604E-01,  1.135865600009647E-02,  2.802137043725735E-03,  3.703245020376660E-03,  7.938107768798948E-03,  1.374440753757227E+00,  2.158883391697674E-03,
2458314.416666667, A.D. 2018-Jul-14 22:00:00.0000,  4.074928899098467E-01, -1.222558409270580E+00,  4.781579501159625E-01,  1.135672212193934E-02,  2.807942441341684E-03,  3.700974810330675E-03,  7.938627043667832E-03,  1.374530663413658E+00,  2.156780114557888E-03,
2458314.458333333, A.D. 2018-Jul-14 23:00:00.0000,  4.079660463433825E-01, -1.222441290752482E+00,  4.783121100987044E-01,  1.135478637660534E-02,  2.813746145091855E-03,  3.698704313485528E-03,  7.939145812388507E-03,  1.374620485433241E+00,  2.154676823081408E-03,
2458314.500000000, A.D. 2018-Jul-15 00:00:00.0000,  4.084391220819769E-01, -1.222323930448674E+00,  4.784661754714394E-01,  1.135284876488852E-02,  2.819548155453534E-03,  3.696433530026686E-03,  7.939664074957525E-03,  1.374710219815383E+00,  2.152573517341649E-03,
2458314.541666667, A.D. 2018-Jul-15 01:00:00.0000,  4.089121170478780E-01, -1.222206328429707E+00,  4.786201462222282E-01,  1.135090928758175E-02,  2.825348472903651E-03,  3.694162460139260E-03,  7.940181831371464E-03,  1.374799866559489E+00,  2.150470197411829E-03,
2458314.583333333, A.D. 2018-Jul-15 02:00:00.0000,  4.093850311633745E-01, -1.222088484766106E+00,  4.787740223391418E-01,  1.134896794547670E-02,  2.831147097918878E-03,  3.691891104007955E-03,  7.940699081626921E-03,  1.374889425664971E+00,  2.148366863364928E-03,
2458314.625000000, A.D. 2018-Jul-15 03:00:00.0000,  4.098578643507805E-01, -1.221970399528379E+00,  4.789278038102563E-01,  1.134702473936392E-02,  2.836944030975437E-03,  3.689619461817150E-03,  7.941215825720507E-03,  1.374978897131241E+00,  2.146263515273757E-03,
2458314.666666667, A.D. 2018-Jul-15 04:00:00.0000,  4.103306165324426E-01, -1.221852072787017E+00,  4.790814906236557E-01,  1.134507967003278E-02,  2.842739272549194E-03,  3.687347533750865E-03,  7.941732063648845E-03,  1.375068280957716E+00,  2.144160153210914E-03,
2458314.708333333, A.D. 2018-Jul-15 05:00:00.0000,  4.108032876307486E-01, -1.221733504612487E+00,  4.792350827674342E-01,  1.134313273827145E-02,  2.848532823115753E-03,  3.685075319992718E-03,  7.942247795408593E-03,  1.375157577143816E+00,  2.142056777248774E-03,
2458314.750000000, A.D. 2018-Jul-15 06:00:00.0000,  4.112758775681108E-01, -1.221614695075237E+00,  4.793885802296903E-01,  1.134118394486698E-02,  2.854324683150271E-03,  3.682802820726000E-03,  7.942763020996403E-03,  1.375246785688962E+00,  2.139953387459536E-03,
2458314.791666667, A.D. 2018-Jul-15 07:00:00.0000,  4.117483862669748E-01, -1.221495644245697E+00,  4.795419829985315E-01,  1.133923329060526E-02,  2.860114853127545E-03,  3.680530036133646E-03,  7.943277740408964E-03,  1.375335906592580E+00,  2.137849983915199E-03,
2458314.833333333, A.D. 2018-Jul-15 08:00:00.0000,  4.122208136498261E-01, -1.221376352194276E+00,  4.796952910620743E-01,  1.133728077627098E-02,  2.865903333522114E-03,  3.678256966398188E-03,  7.943791953642971E-03,  1.375424939854098E+00,  2.135746566687522E-03,
2458314.875000000, A.D. 2018-Jul-15 09:00:00.0000,  4.126931596391755E-01, -1.221256818991363E+00,  4.798485044084407E-01,  1.133532640264769E-02,  2.871690124808063E-03,  3.675983611701842E-03,  7.944305660695140E-03,  1.375513885472948E+00,  2.133643135848100E-03,
2458314.916666667, A.D. 2018-Jul-15 10:00:00.0000,  4.131654241575666E-01, -1.221137044707329E+00,  4.800016230257604E-01,  1.133337017051779E-02,  2.877475227459121E-03,  3.673709972226454E-03,  7.944818861562201E-03,  1.375602743448564E+00,  2.131539691468327E-03,
2458314.958333333, A.D. 2018-Jul-15 11:00:00.0000,  4.136376071275829E-01, -1.221017029412522E+00,  4.801546469021732E-01,  1.133141208066252E-02,  2.883258641948757E-03,  3.671436048153484E-03,  7.945331556240914E-03,  1.375691513780384E+00,  2.129436233619362E-03,
2458315.000000000, A.D. 2018-Jul-15 12:00:00.0000,  4.141097084718327E-01, -1.220896773177273E+00,  4.803075760258237E-01,  1.132945213386193E-02,  2.889040368749985E-03,  3.669161839664062E-03,  7.945843744728037E-03,  1.375780196467846E+00,  2.127332762372198E-03,
2458315.041666667, A.D. 2018-Jul-15 13:00:00.0000,  4.145817281129571E-01, -1.220776276071893E+00,  4.804604103848640E-01,  1.132749033089498E-02,  2.894820408335463E-03,  3.666887346938967E-03,  7.946355427020355E-03,  1.375868791510396E+00,  2.125229277797625E-03,
2458315.083333333, A.D. 2018-Jul-15 14:00:00.0000,  4.150536659736371E-01, -1.220655538166672E+00,  4.806131499674565E-01,  1.132552667253940E-02,  2.900598761177586E-03,  3.664612570158578E-03,  7.946866603114675E-03,  1.375957298907479E+00,  2.123125779966202E-03,
2458315.125000000, A.D. 2018-Jul-15 15:00:00.0000,  4.155255219765785E-01, -1.220534559531882E+00,  4.807657947617683E-01,  1.132356115957183E-02,  2.906375427748295E-03,  3.662337509502955E-03,  7.947377273007809E-03,  1.376045718658543E+00,  2.121022268948322E-03,
2458315.166666667, A.D. 2018-Jul-15 16:00:00.0000,  4.159972960445195E-01, -1.220413340237774E+00,  4.809183447559746E-01,  1.132159379276772E-02,  2.912150408519174E-03,  3.660062165151802E-03,  7.947887436696596E-03,  1.376134050763042E+00,  2.118918744814178E-03,
2458315.208333333, A.D. 2018-Jul-15 17:00:00.0000,  4.164689881002380E-01, -1.220291880354579E+00,  4.810707999382596E-01,  1.131962457290137E-02,  2.917923703961545E-03,  3.657786537284430E-03,  7.948397094177889E-03,  1.376222295220430E+00,  2.116815207633732E-03,
2458315.250000000, A.D. 2018-Jul-15 18:00:00.0000,  4.169405980665367E-01, -1.220170179952511E+00,  4.812231602968136E-01,  1.131765350074595E-02,  2.923695314546274E-03,  3.655510626079830E-03,  7.948906245448552E-03,  1.376310452030165E+00,  2.114711657476780E-03,
