JDTDB, Calendar Date (TDB), EC, QR, IN, OM, W, Tp, N, MA, TA, A, AD, PR,
2458312.500000000, A.D. 2018-Jul-13 00:00:00.0000,  3.442329497471647E-01,  6.930148751209813E-01,  2.515525706770869E+01,  2.362379982784460E+02,  2.555046677459143E+02,  2.458158720900869E+06,  9.072241990484283E-01,  1.395121200390085E+02,  1.584500653391157E+02,  1.056800391013524E+00,  1.420585906906066E+00,  3.968148120140509E+02,
2458312.541666667, A.D. 2018-Jul-13 01:00:00.0000,  3.442329564776138E-01,  6.930148587445075E-01,  2.515525683866776E+01,  2.362379975377573E+02,  2.555046655148022E+02,  2.458158720898758E+06,  9.072242172391256E-01,  1.395499257608357E+02,  1.584711757844013E+02,  1.056800376886963E+00,  1.420585895029419E+00,  3.968148040575414E+02,
2458312.583333333, A.D. 2018-Jul-13 02:00:00.0000,  3.442329632009211E-01,  6.930148423845792E-01,  2.515525660997149E+01,  2.362379967976101E+02,  2.555046632840056E+02,  2.458158720896645E+06,  9.072242354121552E-01,  1.395877314835996E+02,  1.584922833391027E+02,  1.056800362774124E+00,  1.420585883163669E+00,  3.968147961087599E+02,
2458312.625000000, A.D. 2018-Jul-13 03:00:00.0000,  3.442329699170960E-01,  6.930148260411807E-01,  2.515525638161975E+01,  2.362379960580053E+02,  2.555046610535219E+02,  2.458158720894529E+06,  9.072242535675274E-01,  1.396255372073002E+02,  1.585133880065128E+02,  1.056800348674998E+00,  1.420585871308816E+00,  3.968147881677020E+02,
2458312.666666667, A.D. 2018-Jul-13 04:00:00.0000,  3.442329766261499E-01,  6.930148097142934E-01,  2.515525615361247E+01,  2.362379953189439E+02,  2.555046588233485E+02,  2.458158720892410E+06,  9.072242717052561E-01,  1.396633429319375E+02,  1.585344897899229E+02,  1.056800334589574E+00,  1.420585859464854E+00,  3.968147802343616E+02,
2458312.708333333, A.D. 2018-Jul-13 05:00:00.0000,  3.442329833280928E-01,  6.930147934039017E-01,  2.515525592594953E+01,  2.362379945804268E+02,  2.555046565934827E+02,  2.458158720890290E+06,  9.072242898253514E-01,  1.397011486575119E+02,  1.585555886926229E+02,  1.056800320517844E+00,  1.420585847631786E+00,  3.968147723087343E+02,
2458312.750000000, A.D. 2018-Jul-13 06:00:00.0000,  3.442329900229350E-01,  6.930147771099879E-01,  2.515525569863084E+01,  2.362379938424548E+02,  2.555046543639217E+02,  2.458158720888166E+06,  9.072243079278258E-01,  1.397389543840235E+02,  1.585766847179004E+02,  1.056800306459798E+00,  1.420585835809609E+00,  3.968147643908146E+02,
2458312.791666667, A.D. 2018-Jul-13 07:00:00.0000,  3.442329967106870E-01,  6.930147608325351E-01,  2.515525547165628E+01,  2.362379931050287E+02,  2.555046521346630E+02,  2.458158720886041E+06,  9.072243260126913E-01,  1.397767601114720E+02,  1.585977778690411E+02,  1.056800292415428E+00,  1.420585823998321E+00,  3.968147564805972E+02,
2458312.833333333, A.D. 2018-Jul-13 08:00:00.0000,  3.442330033913599E-01,  6.930147445715250E-01,  2.515525524502576E+01,  2.362379923681497E+02,  2.555046499057039E+02,  2.458158720883913E+06,  9.072243440799603E-01,  1.398145658398583E+02,  1.586188681493296E+02,  1.056800278384723E+00,  1.420585812197922E+00,  3.968147485780767E+02,
2458312.875000000, A.D. 2018-Jul-13 09:00:00.0000,  3.442330100649627E-01,  6.930147283269422E-01,  2.515525501873916E+01,  2.362379916318183E+02,  2.555046476770418E+02,  2.458158720881783E+06,  9.072243621296443E-01,  1.398523715691821E+02,  1.586399555620479E+02,  1.056800264367675E+00,  1.420585800408409E+00,  3.968147406832481E+02,
2458312.916666667, A.D. 2018-Jul-13 10:00:00.0000,  3.442330167315076E-01,  6.930147120987674E-01,  2.515525479279638E+01,  2.362379908960357E+02,  2.555046454486739E+02,  2.458158720879650E+06,  9.072243801617564E-01,  1.398901772994435E+02,  1.586610401104769E+02,  1.056800250364274E+00,  1.420585788629780E+00,  3.968147327961057E+02,
2458312.958333333, A.D. 2018-Jul-13 11:00:00.0000,  3.442330233910039E-01,  6.930146958869855E-01,  2.515525456719731E+01,  2.362379901608026E+02,  2.555046432205977E+02,  2.458158720877516E+06,  9.072243981763066E-01,  1.399279830306429E+02,  1.586821217978953E+02,  1.056800236374511E+00,  1.420585776862036E+00,  3.968147249166451E+02,
2458313.000000000, A.D. 2018-Jul-13 12:00:00.0000,  3.442330300434624E-01,  6.930146796915786E-01,  2.515525434194185E+01,  2.362379894261200E+02,  2.555046409928106E+02,  2.458158720875378E+06,  9.072244161733081E-01,  1.399657887627803E+02,  1.587032006275801E+02,  1.056800222398377E+00,  1.420585765105175E+00,  3.968147170448605E+02,
2458313.041666667, A.D. 2018-Jul-13 13:00:00.0000,  3.442330366888936E-01,  6.930146635125287E-01,  2.515525411702986E+01,  2.362379886919887E+02,  2.555046387653097E+02,  2.458158720873239E+06,  9.072244341527735E-01,  1.400035944958558E+02,  1.587242766028064E+02,  1.056800208435861E+00,  1.420585753359193E+00,  3.968147091807464E+02,
2458313.083333333, A.D. 2018-Jul-13 14:00:00.0000,  3.442330433273084E-01,  6.930146473498198E-01,  2.515525389246127E+01,  2.362379879584095E+02,  2.555046365380925E+02,  2.458158720871096E+06,  9.072244521147134E-01,  1.400414002298696E+02,  1.587453497268481E+02,  1.056800194486956E+00,  1.420585741624092E+00,  3.968147013242981E+02,
2458313.125000000, A.D. 2018-Jul-13 15:00:00.0000,  3.442330499587169E-01,  6.930146312034337E-01,  2.515525366823593E+01,  2.362379872253834E+02,  2.555046343111566E+02,  2.458158720868952E+06,  9.072244700591406E-01,  1.400792059648221E+02,  1.587664200029765E+02,  1.056800180551651E+00,  1.420585729899868E+00,  3.968146934755101E+02,
2458313.166666667, A.D. 2018-Jul-13 16:00:00.0000,  3.442330565831290E-01,  6.930146150733542E-01,  2.515525344435374E+01,  2.362379864929111E+02,  2.555046320844990E+02,  2.458158720866805E+06,  9.072244879860669E-01,  1.401170117007129E+02,  1.587874874344616E+02,  1.056800166629938E+00,  1.420585718186521E+00,  3.968146856343772E+02,
2458313.208333333, A.D. 2018-Jul-13 17:00:00.0000,  3.442330632005558E-01,  6.930145989595640E-01,  2.515525322081460E+01,  2.362379857609937E+02,  2.555046298581174E+02,  2.458158720864656E+06,  9.072245058955039E-01,  1.401548174375426E+02,  1.588085520245718E+02,  1.056800152721806E+00,  1.420585706484049E+00,  3.968146778008945E+02,
2458313.250000000, A.D. 2018-Jul-13 18:00:00.0000,  3.442330698110079E-01,  6.930145828620453E-01,  2.515525299761838E+01,  2.362379850296318E+02,  2.555046276320089E+02,  2.458158720862505E+06,  9.072245237874635E-01,  1.401926231753113E+02,  1.588296137765732E+02,  1.056800138827248E+00,  1.420585694792451E+00,  3.968146699750563E+02,
2458313.291666667, A.D. 2018-Jul-13 19:00:00.0000,  3.442330764144959E-01,  6.930145667807804E-01,  2.515525277476495E+01,  2.362379842988265E+02,  2.555046254061710E+02,  2.458158720860351E+06,  9.072245416619596E-01,  1.402304289140190E+02,  1.588506726937305E+02,  1.056800124946253E+00,  1.420585683111725E+00,  3.968146621568571E+02,
