Date                                    Time                                    ,RA                                     Dec
A.D. 2022-Jul-17 04:00:00.0000          2459777.666666667                       16.0 23.0 2.723092017383806             +10 46 25.37552400965164
A.D. 2022-Jul-17 05:00:00.0000          2459777.708333333                       16.0 23.0 2.9048976685635353            +10 46 3.743909237423493
A.D. 2022-Jul-17 06:00:00.0000          2459777.75                              16.0 23.0 3.112317316856661             +10 45 41.898358446861295
A.D. 2022-Jul-17 07:00:00.0000          2459777.791666667                       16.0 23.0 3.3602881801198237            +10 45 19.858735811464356
A.D. 2022-Jul-17 08:00:00.0000          2459777.833333333                       16.0 23.0 3.6613394680125566            +10 44 57.65484819986075
A.D. 2022-Jul-17 09:00:00.0000          2459777.875                             16.0 23.0 4.024735792359024             +10 44 35.32439513783605
A.D. 2022-Jul-17 10:00:00.0000          2459777.916666667                       16.0 23.0 4.455842189217947             +10 44 12.910368540282535
A.D. 2022-Jul-17 11:00:00.0000          2459777.958333333                       16.0 23.0 4.955759529620991             +10 43 50.458107749138435
A.D. 2022-Jul-17 12:00:00.0000          2459778.0                               16.0 23.0 5.521252287410334             +10 43 28.012199673135683
A.D. 2022-Jul-17 13:00:00.0000          2459778.041666667                       16.0 23.0 6.144970563152583             +10 43 5.61342367458022
A.D. 2022-Jul-17 14:00:00.0000          2459778.083333333                       16.0 23.0 6.815956282721345             +10 42 43.29597582235438
A.D. 2022-Jul-17 15:00:00.0000          2459778.125                             16.0 23.0 7.520395939554874             +10 42 21.08514850996217
A.D. 2022-Jul-17 16:00:00.0000          2459778.166666667                       16.0 23.0 8.242565496450425             +10 41 58.995609767413356
A.D. 2022-Jul-17 17:00:00.0000          2459778.208333333                       16.0 23.0 8.965908191007657             +10 41 37.0304242481418
A.D. 2022-Jul-17 18:00:00.0000          2459778.25                              16.0 23.0 9.674168846395332             +10 41 15.180868362610145
A.D. 2022-Jul-17 19:00:00.0000          2459778.291666667                       16.0 23.0 10.352504501195199            +10 40 53.427038006079776
A.D. 2022-Jul-17 20:00:00.0000          2459778.333333333                       16.0 23.0 10.988500941161874            +10 40 31.739232394471763
A.D. 2022-Jul-17 21:00:00.0000          2459778.375                             16.0 23.0 11.573022966349527            +10 40 10.08000596431713
A.D. 2022-Jul-17 22:00:00.0000          2459778.416666667                       16.0 23.0 12.100837534474067            +10 39 48.406734850710855
A.D. 2022-Jul-17 23:00:00.0000          2459778.458333333                       16.0 23.0 12.570972504445308            +10 39 26.67454825622051
A.D. 2022-Jul-18 00:00:00.0000          2459778.5                               16.0 23.0 12.986783597452813            +10 39 4.839411109116076
A.D. 2022-Jul-18 01:00:00.0000          2459778.541666667                       16.0 23.0 13.355722149422036            +10 38 42.861133868646384
A.D. 2022-Jul-18 02:00:00.0000          2459778.583333333                       16.0 23.0 13.68882485838867             +10 38 20.706129068729062
A.D. 2022-Jul-18 03:00:00.0000          2459778.625                             16.0 23.0 13.999957718838232            +10 37 58.34971255193242
A.D. 2022-Jul-18 04:00:00.0000          2459778.666666667                       16.0 23.0 14.304863279476194            +10 37 35.77777857757258
A.D. 2022-Jul-18 05:00:00.0000          2459778.708333333                       16.0 23.0 14.620082043904858            +10 37 12.987760128394576
